Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,EPS next Y Percentage,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W High,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,52W Low,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,Volatility W,Volatility M,Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Ticker
Hercules Capital Inc,Financial,Asset Management,USA,NYSE,-,13.54,1.33,1.83%,175.43M,-0.55%,3.16B,9.04,1.99,1.00%,171.99M,0.84%,-,-,0.47,25.02%,3.11%,-5.48%,-,6.43,-4.41%,-,4.14,-5.66%,491.55M,1.54,4.21%,-,5.35M,-9.70%,11.71,-,-,-,15.59,21.88,-6.57%,-,-,- -,-,-17.69%,46.74%,1.60 (8.88%),-,- -,-,15.53%,80.14%,1.59 (8.83%),-,45.84%,-,0.82%,0.79%,62.48%,"May 13, 2025",-,30.92%,-,55.03,1.88,10.14% 6.36%,-,-44.70%,1.15%,0.87,20.62,120.03%,-,-1.70%,2.14%,0.65,18.02,100,-,May 01 AMC,-5.47%,1.29M,18.01,"Jun 09, 2005",Yes / Yes,-3.08% -4.72%,"

","835,686",-0.06%,HTGC
Hershey Company,Consumer Defensive,Confectioners,USA,NYSE,S&P 500,21.15,8.11,27.30%,147.98M,-0.39%,34.74B,26.81,6.40,-0.08%,147.29M,10.12%,39.51B,-,0.97,61.29%,5.81%,4.24%,1.65B,3.23,-35.88%,0.62%,5.17,-3.79%,10.75B,7.41,6.44%,12.50%,8.56M,1.24%,23.12,22.92,-7.74%,37.48%,140.13,208.03,-6.34%,7.48,19.08,15.35% 14.88%,16.19%,-17.58%,-17.09%,5.52 (3.22%),15.45,7.68% 7.00%,40.67%,22.35%,31.75%,5.48 (3.20%),3.67,-19.78%,19.74%,0.86%,1.43%,88.32%,"May 16, 2025",1.11,-5.91%,15.32%,60.91,3.04,17.13% 12.88%,1.59,-71.64%,4.51%,0.28,160.62,50.20%,1.34,-13.75%,4.26%,2.52,169.72,18540,1.17,May 01 BMO,-0.46%,1.66M,171.45,"Dec 01, 1927",Yes / Yes,7.90% 0.51%,"

","4,180,728",1.02%,HSY
Host Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel,USA,NASD,S&P 500,16.25,0.96,1.45%,693.70M,-0.13%,10.87B,19.97,0.78,-0.05%,683.67M,3.50%,16.22B,-,0.22,106.91%,7.23%,4.75%,677.00M,1.87,-21.73%,1.30%,4.52,-15.55%,5.81B,1.63,1.27%,5.33%,49.45M,-10.56%,9.59,25.40,-7.25%,10.12%,12.22,19.26,-12.26%,0.62,13.02,- -4.68%,5.51%,-18.62%,-5.93%,0.87 (5.53%),10.37,25.29% 0.77%,15.62%,28.23%,29.80%,0.80 (5.09%),2.79,-5.25%,13.54%,1.49%,1.77%,-18.00%,"Jun 30, 2025",2.74,7.52%,11.66%,54.72,1.78,- 0.00%,2.74,-6.50%,0.91%,1.35,17.75,80.80%,0.85,8.36%,5.39%,1.22,15.73,165,0.85,Apr 30 AMC,-4.77%,10.95M,15.67,"Aug 26, 1968",Yes / Yes,28.16% 3.17%,"

","13,370,599",-0.38%,HST
Henry Schein Inc,Healthcare,Medical Distribution,USA,NASD,S&P 500,22.38,3.22,13.84%,122.24M,1.27%,8.76B,13.64,5.28,-0.06%,104.87M,-1.57%,13.27B,3.12,1.21,97.72%,7.52%,2.17%,407.00M,0.69,2.86%,-17.95%,5.26,-4.21%,12.67B,2.66,8.23%,3.95%,7.89M,4.02%,27.08,68.99,7.17%,11.78%,60.56,82.49,8.76%,1.04,15.93,-11.48% -2.15%,7.35%,-12.74%,-4.03%,-,12.40,0.73% 4.88%,29.62%,18.86%,23.72%,-,1.05,8.76%,6.10%,1.01%,1.27%,29.18%,-,0.75,1.75%,3.21%,57.88,2.47,- -,1.38,22.96%,1.23%,0.87,76.15,0.00%,0.97,-0.13%,4.81%,2.22,71.13,25000,0.67,May 05 BMO,0.92%,1.50M,71.98,"Nov 03, 1995",Yes / Yes,3.37% -1.83%,"

","3,331,914",1.20%,HSIC
HSBC Holdings plc ADR,Financial,Banks - Diversified,United Kingdom,NYSE,-,10.82,5.40,0.00%,3.54B,-2.89%,204.54B,8.40,6.96,-,3.50B,-2.60%,-,2.15,1.60,2.14%,0.17%,1.42%,19.67B,1.44,1.80%,29.21%,2.89,20.15%,142.18B,1.20,4.35%,0.65%,5.78M,18.14%,48.58,-,5.04%,10.83%,39.42,61.88,33.71%,-,-,25.99% 33.35%,5.19%,-5.58%,92.08%,3.35 (5.73%),-,27.04% 9.58%,-,48.24%,151.11%,3.30 (5.65%),-,-6.79%,18.34%,1.46%,0.96%,27.72%,"May 09, 2025",-,-1.91%,13.83%,47.54,1.33,38.30% 16.94%,2.00,-28.10%,-1.60%,0.56,56.00,52.55%,2.35,-8.07%,2.41%,0.77,59.19,211000,1.20,Apr 29 BMO,13.48%,2.00M,58.43,"Jul 16, 1999",Yes / Yes,18.18% 8.17%,"

","1,539,708",-1.28%,HSBC
Hesai Group ADR,Consumer Cyclical,Auto Parts,China,NASD,-,-,-0.01,5.81%,105.47M,-12.68%,1.91B,27.35,0.66,0.00%,99.35M,-7.46%,1.61B,-,0.06,41.53%,5.81%,-5.92%,-1.73M,6.14,379.89%,41.29%,1.18,77.55%,310.92M,3.91,114.99%,-0.21%,5.77M,31.04%,4.63,4.84,-,-0.30%,3.52,24.18,284.50%,3.74,-,66.89% 11.46%,-0.27%,-25.10%,-,-,-,37.20% 41.78%,43.00%,414.49%,-,-,5.19,97.67%,-17.11%,4.11%,3.68%,-,-,3.62,23.48%,-0.56%,44.85,1.18,- -,4.06,84.37%,-8.69%,1.08,26.01,-,0.16,44.50%,3.87%,0.87,18.24,1020,0.09,May 26 AMC,43.71%,4.88M,18.11,"Feb 09, 2023",Yes / Yes,-1.12% -0.28%,"

","4,255,304",-0.71%,HSAI
Harrow Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NASD,RUT,-,-0.61,16.01%,35.65M,-1.60%,1.13B,21.09,1.45,-1.43%,30.83M,9.23%,1.29B,-,0.01,56.54%,13.65%,9.15%,-21.70M,5.29,129.04%,-0.92%,8.20,-16.32%,212.86M,19.36,921.50%,-6.58%,4.21M,-8.61%,1.58,16.86,-,-37.23%,19.31,59.23,73.32%,1.82,2679.07,10.79% -,-12.22%,-48.24%,372.42%,-,61.22,40.17% 31.29%,74.53%,58.82%,378.32%,-,6.05,33.18%,2.24%,4.05%,3.10%,273.90%,-,0.85,53.49%,-10.19%,57.58,1.00,- -,0.91,-29.79%,4.84%,0.40,56.89,-,4.07,38.29%,14.83%,0.82,31.52,382,2.14,May 08 AMC,-11.96%,512.85K,30.66,"Apr 24, 2007",Yes / Yes,-986.96% -16.08%,"

","418,564",-2.73%,HROW
Harmony Biosciences Holdings Inc,Healthcare,Biotechnology,USA,NASD,RUT,12.16,2.62,24.06%,57.39M,-4.32%,1.83B,7.96,4.01,-0.87%,43.61M,-10.47%,1.53B,0.48,0.72,78.52%,7.75%,-8.62%,152.72M,2.46,24.67%,-5.34%,4.71,-3.54%,744.85M,2.54,28.04%,16.05%,3.38M,-7.32%,12.55,3.61,25.24%,24.71%,26.47,41.61,8.58%,8.83,8.27,62.64% -,17.37%,-23.36%,-28.29%,-,6.99,32.76% 160.18%,75.14%,20.48%,-,-,2.06,14.08%,26.18%,0.89%,1.70%,-,-,3.63,20.62%,20.50%,36.85,1.33,- -,3.67,16.96%,-6.68%,0.87,51.44,0.00%,0.29,19.48%,-1.68%,0.92,32.48,268,0.22,May 06 BMO,-7.72%,717.45K,31.89,"Aug 19, 2020",Yes / Yes,28.61% 1.35%,"

","662,257",-1.82%,HRMY
Hormel Foods Corp,Consumer Defensive,Packaged Foods,USA,NYSE,S&P 500,22.37,1.36,47.26%,549.89M,-2.06%,16.72B,17.04,1.79,-0.00%,290.02M,0.90%,18.89B,2.89,0.41,42.96%,3.79%,2.46%,747.49M,1.40,1.07%,1.07%,3.56,-5.97%,11.92B,2.08,11.78%,5.43%,10.98M,-3.06%,14.61,23.92,7.74%,9.39%,27.59,33.80,-1.07%,1.27,24.04,-4.03% -3.96%,6.87%,-10.03%,-32.60%,1.16 (3.82%),15.33,1.54% 4.65%,16.58%,10.22%,-35.42%,1.15 (3.77%),1.58,-2.93%,8.15%,0.86%,0.95%,7.72%,"Jul 14, 2025",1.17,-1.01%,6.27%,50.83,2.85,4.86% 6.11%,2.47,-5.25%,-0.26%,0.34,33.62,77.04%,0.36,0.40%,1.03%,2.40,30.16,20000,0.35,May 29 BMO,-0.53%,3.08M,30.41,"Jul 10, 1962",Yes / Yes,2.43% -0.16%,"

","7,404,215",0.83%,HRL
Herc Holdings Inc,Industrials,Rental & Leasing Services,USA,NYSE,RUT,25.63,4.49,2.61%,33.20M,-3.60%,3.82B,7.67,14.99,0.00%,32.33M,-15.28%,8.82B,2.95,2.53,91.74%,9.76%,-14.85%,128.00M,1.05,-1.99%,6.90%,6.14,-42.22%,3.62B,2.41,18.76%,1.72%,3.15M,-39.27%,47.65,79.53,8.70%,9.60%,96.18,246.88,-12.00%,1.45,-,0.14% 35.31%,2.02%,-53.43%,10.77%,2.65 (2.31%),5.68,19.84% 12.29%,33.43%,19.54%,307.88%,2.73 (2.37%),2.43,-63.02%,20.11%,1.90%,2.81%,78.86%,"May 30, 2025",1.50,8.34%,3.53%,42.71,1.91,74.57% -,1.50,-127.60%,-4.65%,1.88,165.30,35.93%,3.72,7.09%,-4.14%,0.94,111.68,7600,3.67,Apr 22 BMO,-29.92%,513.31K,114.98,"Nov 16, 2006",Yes / Yes,-41.23% 1.14%,"

","483,401",2.95%,HRI
H&R Block Inc,Consumer Cyclical,Personal Services,USA,NYSE,-,13.44,4.08,1.27%,133.88M,-2.12%,7.35B,10.67,5.14,-3.07%,132.18M,-5.40%,8.48B,1.47,2.83,96.91%,9.05%,4.73%,559.20M,1.98,19.05%,1.44%,7.13,-0.63%,3.71B,-,-2.00%,17.42%,11.96M,3.86%,-1.44,9.30,9.12%,968.17%,49.16,68.45,5.95%,5.90,11.33,10.19% 15.11%,46.50%,-19.82%,59.63%,1.51 (2.76%),8.79,1.88% 3.13%,44.53%,11.64%,209.36%,1.50 (2.73%),2.28,-8.07%,22.79%,0.93%,1.46%,79.23%,"Jun 04, 2025",0.78,3.71%,15.06%,38.91,3.00,- 3.75%,0.78,9.29%,-3.05%,0.27,62.00,30.33%,-,4.22%,-5.92%,1.19,55.12,70900,-,May 07 AMC,-4.46%,1.68M,54.88,"Oct 13, 1969",Yes / Yes,4.06% 1.30%,"

","1,993,303",-0.44%,HRB
Healthcare Realty Trust Inc,Real Estate,REIT - Healthcare Facilities,USA,NYSE,-,-,-1.09,0.96%,351.00M,1.81%,5.33B,-,-0.30,0.07%,348.05M,1.40%,10.41B,-,-0.08,106.20%,3.56%,-9.32%,-392.80M,4.30,82.80%,-1.68%,4.07,-12.41%,1.24B,1.05,4.54%,-3.45%,12.38M,-10.44%,14.47,207.41,45.17%,-6.83%,14.09,18.90,-6.01%,0.07,11.27,- -,-4.22%,-19.68%,-32.74%,1.20 (7.88%),15.05,33.35% 12.83%,10.09%,7.74%,-35.57%,1.24 (8.17%),8.39,18.45%,3.49%,0.60%,0.83%,-25.37%,"May 12, 2025",0.16,-7.26%,-31.67%,60.09,3.00,-1.31% -0.16%,0.16,84.21%,3.94%,0.86,16.78,-,0.99,-8.52%,0.92%,2.12,15.05,550,0.83,May 01 AMC,-8.96%,3.04M,15.18,"May 27, 1993",Yes / Yes,-55.13% -3.09%,"

","6,452,713",0.86%,HR
Healthequity Inc,Healthcare,Health Information Services,USA,NASD,RUT,73.73,1.37,2.74%,86.71M,-2.59%,8.76B,22.97,4.41,-12.01%,84.10M,0.12%,9.58B,3.87,0.92,107.96%,7.09%,19.74%,121.81M,7.05,18.82%,3.34%,4.73,8.73%,1.24B,4.14,18.98%,3.66%,5.96M,5.58%,24.49,30.43,19.03%,5.77%,65.01,116.65,20.07%,3.33,25.94,- 13.44%,3.78%,-13.16%,48.06%,-,22.13,16.61% 17.66%,58.59%,55.82%,66.31%,-,7.71,50.06%,21.77%,2.27%,2.58%,263.21%,-,4.06,19.21%,9.80%,49.45,1.20,- -,4.06,86.94%,-2.75%,0.49,121.71,0.00%,0.52,15.04%,6.44%,0.97,102.00,3120,0.52,Jun 03 AMC,6.98%,1.26M,101.30,"Jul 31, 2014",Yes / Yes,19.34% 2.64%,"

","1,218,772",-0.69%,HQY
HP Inc,Technology,Computer Hardware,USA,NYSE,S&P 500,9.29,2.59,0.26%,942.21M,-2.55%,22.65B,7.08,3.41,-4.05%,936.82M,-16.80%,31.83B,4.51,0.74,81.81%,3.92%,-15.43%,2.52B,0.42,-7.87%,1.04%,3.87,-29.48%,53.89B,-,9.39%,6.60%,36.69M,-26.11%,-1.35,8.30,2.06%,-,21.21,39.79,-32.90%,2.91,8.52,-19.41% 6.29%,28.66%,-39.41%,-28.56%,1.16 (4.83%),7.27,-5.63% -1.84%,20.25%,13.67%,42.92%,1.14 (4.74%),0.59,-12.41%,6.60%,1.71%,2.60%,63.85%,"Sep 10, 2025",0.42,2.08%,4.67%,37.43,2.78,12.14% 11.44%,0.73,-30.73%,-5.15%,1.31,26.96,39.29%,-,2.29%,-6.24%,2.06,24.18,58000,-,May 28 AMC,-23.77%,9.48M,24.11,"Mar 17, 1961",Yes / Yes,-8.38% 0.86%,"

","19,506,048",-0.29%,HPQ
HighPeak Energy Inc,Energy,Oil & Gas E&P,USA,NASD,RUT,13.05,0.88,85.35%,126.07M,1.32%,1.45B,13.25,0.87,0.00%,18.47M,20.46%,2.42B,1.77,0.11,20.45%,30.11%,-8.31%,112.85M,1.39,-38.10%,-1.81%,16.56,-19.15%,1.04B,0.89,33.33%,3.57%,5.56M,-21.90%,12.96,28.04,7.38%,7.09%,7.82,17.48,-15.90%,0.41,30.41,4.34% -,4.45%,-34.32%,-63.82%,-,3.01,69.37% 165.44%,34.62%,46.80%,10.60%,0.16 (1.39%),2.33,-28.62%,31.25%,2.96%,3.04%,-,"Jun 02, 2025",0.48,-11.59%,10.86%,61.33,3.33,47.36% -,0.51,473.78%,6.79%,1.07,15.83,24.03%,0.63,-10.54%,17.76%,2.12,11.64,47,0.55,May 12 AMC,-10.54%,335.82K,11.48,"May 29, 2018",Yes / Yes,13.76% 3.32%,"

","711,030",-1.37%,HPK
Hewlett Packard Enterprise Co,Technology,Communication Equipment,USA,NYSE,S&P 500,18.56,0.97,0.50%,1.31B,-0.94%,23.57B,8.49,2.12,-0.71%,1.31B,1.35%,29.37B,3.54,0.43,90.25%,3.41%,10.66%,1.37B,0.75,-7.30%,7.71%,2.19,-17.80%,31.55B,0.99,14.73%,2.28%,44.55M,-15.88%,18.21,2.00,5.24%,6.39%,11.97,24.66,-17.08%,8.98,220.26,-9.50% 19.99%,3.79%,-27.17%,31.38%,0.53 (2.96%),6.45,2.57% 0.79%,29.19%,50.10%,75.91%,0.52 (2.90%),0.93,-24.41%,6.70%,2.24%,1.61%,-,"Jun 18, 2025",0.95,11.63%,4.35%,54.77,1.94,2.70% 2.93%,1.28,-444.39%,0.67%,1.33,20.82,27.22%,0.73,5.65%,6.45%,1.64,17.78,61000,0.52,Jun 03 AMC,-6.47%,20.35M,17.96,"Oct 19, 2015",Yes / Yes,9.70% 1.86%,"

","33,358,982",1.01%,HPE
"Helmerich & Payne, Inc",Energy,Oil & Gas Drilling,USA,NYSE,RUT,7.80,2.19,3.98%,99.42M,-4.89%,1.70B,14.85,1.15,1.57%,95.46M,6.21%,3.79B,-,0.24,101.47%,8.49%,-32.45%,217.19M,0.55,-61.27%,-3.08%,3.88,-48.12%,3.08B,0.58,-14.99%,3.72%,8.11M,-46.56%,29.52,6.44,-24.10%,7.57%,14.65,42.39,-47.88%,2.66,22.70,- -,4.20%,-59.64%,-60.31%,1.12 (6.54%),4.54,31.27% -0.30%,22.29%,16.79%,-22.80%,0.75 (4.38%),1.23,-37.06%,12.30%,1.78%,3.20%,-75.74%,"Aug 15, 2025",1.32,12.23%,7.04%,45.95,2.89,14.73% -11.87%,1.68,-98.51%,1.93%,0.81,22.00,44.07%,0.76,47.69%,-5.76%,0.98,17.38,7000,0.76,May 08 BMO,-38.69%,2.09M,17.11,"Jul 02, 1962",Yes / Yes,-96.90% 8.31%,"

","2,044,242",-1.55%,HP
Hope Bancorp Inc,Financial,Banks - Regional,USA,NASD,RUT,12.98,0.78,5.24%,128.06M,-2.68%,1.30B,8.02,1.27,-0.06%,121.35M,-2.78%,-,-,0.00,85.54%,2.60%,-2.59%,94.86M,1.33,-17.99%,0.15%,2.93,-24.40%,979.20M,0.57,88.48%,0.54%,3.16M,-17.33%,17.84,-,-,4.44%,8.82,14.53,0.30%,-,12.58,-20.89% -9.41%,4.13%,-30.10%,-28.10%,0.56 (5.51%),-,18.55% 6.60%,-,15.13%,9.72%,0.56 (5.51%),-,-21.66%,14.00%,0.75%,1.58%,-32.72%,"May 02, 2025",-,-11.94%,9.69%,49.52,2.50,0.00% 0.00%,0.06,-18.72%,0.05%,0.87,12.00,68.08%,0.12,-15.49%,1.08%,1.56,10.08,1244,0.06,Apr 22 BMO,-12.24%,1.08M,10.16,"Jan 29, 1998",Yes / Yes,-8.11% 1.34%,"

","1,683,166",0.79%,HOPE
Robinhood Markets Inc,Financial,Capital Markets,USA,NASD,-,44.80,1.75,16.51%,767.85M,6.31%,69.27B,52.25,1.50,-3.88%,737.72M,20.94%,76.54B,7.65,0.29,57.29%,3.61%,79.80%,1.59B,21.13,-18.99%,-4.10%,0.61,81.71%,3.28B,8.73,18.89%,4.32%,26.66M,110.68%,8.99,15.39,5.86%,21.43%,13.98,78.74,252.81%,5.10,-,- -,19.71%,-0.30%,985.75%,-,56.11,17.47% 60.71%,87.46%,461.52%,-,-,23.35,1127.29%,39.17%,3.70%,2.78%,-,-,1.35,58.74%,48.51%,71.27,1.83,- -,1.35,105.96%,10.23%,2.26,66.80,0.00%,1.48,49.52%,33.51%,0.85,78.35,2300,0.01,Apr 30 AMC,84.32%,43.59M,78.50,"Jul 29, 2021",Yes / Yes,13.74% 0.75%,"

","37,108,780",0.19%,HOOD
Honeywell International Inc,Industrials,Conglomerates,USA,NASD,"DJIA, NDX, S&P 500",25.48,8.71,0.12%,642.68M,-1.88%,142.55B,19.52,11.36,-3.61%,641.89M,-1.45%,167.05B,3.31,2.64,80.05%,1.09%,5.17%,5.69B,3.64,5.45%,-3.68%,1.66,-6.02%,39.21B,8.16,8.93%,8.08%,7.01M,-1.81%,27.17,14.17,7.70%,33.56%,179.36,242.77,4.65%,15.65,28.15,3.24% 0.69%,12.89%,-8.64%,21.02%,4.53 (2.04%),17.80,3.83% 0.96%,38.25%,23.66%,51.27%,4.47 (2.02%),4.26,0.81%,20.32%,0.50%,0.73%,123.92%,"May 16, 2025",0.95,6.30%,14.51%,48.85,2.07,5.05% 5.40%,1.25,-0.21%,-1.49%,1.07,242.57,50.20%,1.95,7.88%,3.08%,1.38,221.87,102000,1.53,Apr 29 BMO,2.97%,4.23M,221.80,"Jan 01, 1927",Yes / Yes,13.61% 2.38%,"

","5,853,123",-0.03%,HON
Home Bancshares Inc,Financial,Banks - Regional,USA,NYSE,RUT,13.20,2.09,7.40%,198.21M,-2.16%,5.46B,11.96,2.31,-0.21%,182.86M,-5.05%,-,2.00,0.57,72.06%,3.18%,-1.71%,417.34M,3.73,13.40%,1.18%,6.23,-9.29%,1.46B,1.35,1.36%,1.82%,5.81M,-2.37%,20.40,-,6.61%,10.63%,22.90,32.90,19.97%,-,13.64,1.28% 3.10%,8.31%,-16.03%,34.91%,0.79 (2.87%),-,24.64% 12.35%,-,20.66%,86.82%,0.79 (2.84%),-,8.50%,36.71%,0.49%,1.22%,52.74%,"May 14, 2025",-,6.67%,28.52%,43.25,2.00,10.23% 8.02%,0.33,16.56%,-1.81%,0.79,32.29,37.30%,0.31,-0.01%,-1.09%,1.94,27.57,2552,0.24,Apr 16 AMC,-3.03%,931.89K,27.63,"Jun 23, 2006",Yes / Yes,4.34% 1.91%,"

","1,804,433",0.22%,HOMB
"Hologic, Inc",Healthcare,Medical Instruments & Supplies,USA,NASD,S&P 500,27.23,2.37,0.90%,222.84M,-1.13%,14.37B,14.30,4.51,0.27%,220.85M,14.18%,15.28B,3.97,1.05,102.18%,2.32%,5.69%,556.70M,3.57,2.51%,-2.14%,1.41,-10.99%,4.03B,3.11,7.79%,6.45%,5.11M,-10.56%,20.73,8.86,6.86%,11.77%,51.90,84.67,-9.73%,7.27,14.43,-22.74% -,7.85%,-23.85%,-4.99%,-,12.20,-10.56% 3.66%,55.98%,24.24%,23.05%,-,3.79,21.95%,23.72%,1.11%,3.21%,72.87%,-,2.52,1.66%,13.83%,60.94,2.50,- -,3.24,-110.78%,2.61%,0.55,66.93,0.00%,0.55,-1.23%,8.80%,1.52,63.97,7063,0.54,May 01 AMC,-7.43%,3.62M,64.48,"Mar 01, 1990",Yes / Yes,1.37% 0.48%,"

","5,518,325",0.80%,HOLX
"Harley-Davidson, Inc",Consumer Cyclical,Recreational Vehicles,USA,NYSE,-,8.73,2.68,0.80%,121.24M,-5.84%,2.84B,7.09,3.30,-0.35%,120.51M,-9.87%,8.10B,1.44,1.00,95.59%,11.75%,-7.37%,353.52M,0.59,-24.43%,-4.09%,6.32,-26.94%,4.79B,0.89,26.90%,2.86%,14.16M,-22.40%,26.25,1.36,6.06%,10.84%,20.45,39.93,-30.31%,17.13,3.08,-6.37% 5.10%,4.31%,-41.45%,-25.40%,0.69 (2.95%),18.27,-0.94% -0.66%,30.96%,14.33%,-6.55%,0.70 (3.02%),1.69,-40.76%,5.90%,2.09%,1.75%,-57.12%,"Jun 02, 2025",1.36,-17.15%,7.39%,41.59,2.50,4.77% -14.38%,1.56,-37.81%,-4.03%,1.33,29.25,20.05%,2.31,-23.15%,-1.86%,1.44,23.37,5900,1.57,May 01 BMO,-19.52%,2.24M,23.38,"Jul 08, 1986",Yes / Yes,37.82% -2.30%,"

","3,237,710",0.04%,HOG
HNI Corp,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,NYSE,RUT,16.57,2.80,2.72%,46.55M,-3.01%,2.16B,11.58,4.01,-0.33%,45.29M,-1.86%,2.68B,1.08,0.86,79.94%,1.73%,6.08%,135.70M,0.85,14.31%,-7.03%,2.37,-14.30%,2.54B,2.69,14.58%,7.20%,0.78M,-7.88%,17.26,78.55,15.38%,17.23%,39.76,58.42,6.20%,0.59,11.50,28.34% 2.51%,10.68%,-20.58%,28.53%,1.36 (2.93%),8.26,4.97% 2.37%,39.91%,16.70%,62.52%,1.33 (2.87%),1.06,107.68%,8.59%,1.27%,1.63%,-9.92%,"May 23, 2025",0.73,-0.18%,5.35%,48.69,1.00,1.85% 1.60%,1.19,-21.30%,-1.10%,0.90,64.00,45.54%,0.69,2.01%,2.74%,2.57,46.88,7700,0.58,May 07 BMO,-5.56%,330.39K,46.40,"Nov 01, 1982",Yes / Yes,29.41% 3.33%,"

","850,184",-1.02%,HNI
Hinge Health Inc,Healthcare,Health Information Services,USA,NYSE,-,10.33,4.07,25.80%,78.02M,20.13%,3.28B,56.72,0.74,-23.03%,6.10M,-,-,-,0.09,9.60%,14.13%,-,135.80M,7.61,89.40%,35.16%,0.69,-,431.50M,-,18.71%,8.90%,0.86M,12.01%,-18.75,6.97,-,-20.50%,33.42,43.80,-,6.03,38.34,- -,5.90%,-3.95%,-,-,-,- -,79.50%,25.87%,-,-,-,-,4.70%,0.79%,-,-,-,2.00,-,7.30%,63.40,1.46,- -,2.30,-,8.90%,-,46.29,0.00%,-,49.70%,8.90%,0.88,39.73,1514,-,May 28,8.90%,1.26M,42.07,"May 22, 2025",Yes / Yes,- -,"

","1,105,011",5.89%,HNGE
Harmony Gold Mining Co Ltd ADR,Basic Materials,Gold,South Africa,NYSE,-,15.42,0.92,0.07%,622.18M,-5.09%,8.82B,5.55,2.55,0.00%,621.73M,-7.86%,8.43B,0.42,-,22.00%,0.99%,10.35%,580.30M,2.32,67.32%,-3.60%,1.00,59.68%,3.80B,3.63,48.48%,16.77%,6.14M,72.72%,3.90,17.17,36.29%,25.19%,7.97,18.77,69.62%,0.83,16.98,10.70% -,22.88%,-24.45%,361.89%,0.27 (1.91%),6.34,5.43% 12.41%,31.52%,77.92%,354.49%,0.17 (1.22%),2.22,20.44%,28.29%,1.06%,3.48%,950.37%,"Apr 11, 2025",1.46,20.35%,15.28%,43.65,3.86,7.72% -,1.84,37.42%,-4.15%,0.98,14.37,14.15%,0.05,26.51%,-7.85%,1.23,14.38,34715,0.04,Mar 04 BMO,21.23%,6.13M,14.18,"May 17, 1994",Yes / Yes,- -,"

","7,558,029",-1.39%,HMY
Horace Mann Educators Corp,Financial,Insurance - Property & Casualty,USA,NYSE,RUT,15.28,2.76,0.62%,40.95M,-2.30%,1.72B,9.55,4.41,-23.06%,40.53M,-4.14%,-,0.94,0.57,103.22%,1.35%,1.94%,114.50M,1.06,25.97%,-0.63%,1.88,1.32%,1.63B,1.29,10.18%,0.96%,0.55M,7.42%,32.79,-,16.23%,8.97%,31.81,44.44,27.50%,-,3.31,-9.88% -10.84%,6.06%,-5.18%,19.68%,-,-,6.25% 2.20%,-,32.47%,17.68%,1.38 (3.27%),-,77.17%,10.94%,0.78%,1.10%,19.99%,"Jun 16, 2025",-,6.67%,7.04%,44.84,2.50,3.13% 3.41%,-,43.82%,-2.01%,0.30,46.50,54.90%,0.41,7.88%,0.19%,1.45,42.08,1750,0.41,May 06 AMC,5.86%,290.93K,42.14,"Nov 15, 1991",Yes / Yes,10.43% 40.08%,"

","420,804",0.14%,HMN
Honda Motor ADR,Consumer Cyclical,Auto Manufacturers,Japan,NYSE,-,8.44,3.45,0.00%,1.45B,-0.14%,42.22B,6.74,4.33,-,1.45B,-1.55%,92.69B,1.09,1.15,23.11%,0.39%,-3.35%,5.44B,0.30,0.37%,2.44%,5.85,16.47%,142.29B,0.51,17.48%,2.70%,5.65M,2.07%,56.92,1.39,7.76%,6.54%,23.41,33.72,-7.93%,20.90,-,-1.27% 8.03%,4.17%,-13.58%,19.08%,1.53 (5.27%),5.01,3.18% 0.71%,21.50%,24.48%,10.67%,0.67 (2.31%),0.65,-26.70%,5.57%,2.23%,1.49%,-12.12%,"Mar 28, 2025",1.07,0.83%,3.82%,46.12,2.00,13.39% 6.10%,1.36,-86.02%,-1.39%,0.54,34.08,34.32%,0.96,-3.82%,-1.44%,0.62,29.65,194173,0.58,May 13 AMC,0.58%,966.63K,29.14,"Feb 11, 1977",Yes / Yes,-64.90% 1.55%,"

","596,518",-1.72%,HMC
